pid,first_name,last_name,party,state
R000578,David,Reichert,Republican,WA
R000580,Peter,Roskam,Republican,IL
R000581,Laura,Richardson,Democrat,CA
R000582,David,Roe,Republican,TN
R000583,Thomas,Rooney,Republican,FL
R000584,James,Risch,Republican,ID
R000585,Tom,Reed,Republican,NY
R000586,James,Renacci,Republican,OH
R000587,Reid,Ribble,Republican,WI
R000588,Cedric,Richmond,Democrat,LA
R000589,Edward,Rigell,Republican,VA
R000590,David,Rivera,Republican,FL
R000591,Martha,Roby,Republican,AL
R000592,Todd,Rokita,Republican,IN
R000593,Dennis,Ross,Republican,FL
R000594,Jon,Runyan,Republican,NJ
R000595,Marco,Rubio,Republican,FL
R000596,Trey,Radel,Republican,FL
R000597,Tom,Rice,Republican,SC
R000598,Keith,Rothfus,Republican,PA
R000599,Raul,Ruiz,Democrat,CA
R000601,John,Ratcliffe,Republican,TX
